filename,filepath,class,split
A_0ed4a90f-16eb-11ec-b636-d8fc93b4157c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\A\A_0ed4a90f-16eb-11ec-b636-d8fc93b4157c.jpg,A,train
B_00b0e721-16e4-11ec-bd27-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\B\B_00b0e721-16e4-11ec-bd27-648099b69a6c.jpg,B,train
C_00931fd1-16e3-11ec-ac9e-d8fc93b4157c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\C\C_00931fd1-16e3-11ec-ac9e-d8fc93b4157c.jpg,C,train
D_04b05780-16e3-11ec-87c8-d8fc93b4157c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\D\D_04b05780-16e3-11ec-87c8-d8fc93b4157c.jpg,D,train
E_09700a20-16e3-11ec-ae40-d8fc93b4157c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\E\E_09700a20-16e3-11ec-ae40-d8fc93b4157c.jpg,E,train
F_016968ca-0ccc-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\F\F_016968ca-0ccc-11ec-82c8-57b5b9d289c0.jpg,F,train
G_0858d29c-0ccc-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\G\G_0858d29c-0ccc-11ec-82c8-57b5b9d289c0.jpg,G,train
H_009a920b-16e0-11ec-b865-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\H\H_009a920b-16e0-11ec-b865-648099b69a6c.jpg,H,train
I_071fe754-16e0-11ec-bfac-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\I\I_071fe754-16e0-11ec-bfac-648099b69a6c.jpg,I,train
J_1d448bb0-0ccc-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\J\J_1d448bb0-0ccc-11ec-82c8-57b5b9d289c0.jpg,J,train
K_1694b5fb-16e0-11ec-b95c-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\K\K_1694b5fb-16e0-11ec-b95c-648099b69a6c.jpg,K,train
L_1e542c7d-16e0-11ec-b90d-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\L\L_1e542c7d-16e0-11ec-b90d-648099b69a6c.jpg,L,train
M_260e3184-16e0-11ec-87fa-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\M\M_260e3184-16e0-11ec-87fa-648099b69a6c.jpg,M,train
N_2dcbbbb1-16e0-11ec-ab70-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\N\N_2dcbbbb1-16e0-11ec-ab70-648099b69a6c.jpg,N,train
O_3582e791-16e0-11ec-a429-648099b69a6c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\O\O_3582e791-16e0-11ec-a429-648099b69a6c.jpg,O,train
P_03dd1695-16e6-11ec-ad2b-d8fc93b4157c.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\P\P_03dd1695-16e6-11ec-ad2b-d8fc93b4157c.jpg,P,train
Q_00b03a52-0cd2-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\Q\Q_00b03a52-0cd2-11ec-82c8-57b5b9d289c0.jpg,Q,train
R_00469f84-0ccd-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\R\R_00469f84-0ccd-11ec-82c8-57b5b9d289c0.jpg,R,train
S_073b7c6a-0ccd-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\S\S_073b7c6a-0ccd-11ec-82c8-57b5b9d289c0.jpg,S,train
T_0057626a-16eb-11ec-923f-bde3136ed2f1.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\T\T_0057626a-16eb-11ec-923f-bde3136ed2f1.jpg,T,train
U_03a3dd18-16eb-11ec-923f-bde3136ed2f1.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\U\U_03a3dd18-16eb-11ec-923f-bde3136ed2f1.jpg,U,train
V_0826a582-16eb-11ec-923f-bde3136ed2f1.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\V\V_0826a582-16eb-11ec-923f-bde3136ed2f1.jpg,V,train
W_02f7af3e-16e6-11ec-923f-bde3136ed2f1.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\W\W_02f7af3e-16e6-11ec-923f-bde3136ed2f1.jpg,W,train
X_077bb870-16e6-11ec-923f-bde3136ed2f1.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\X\X_077bb870-16e6-11ec-923f-bde3136ed2f1.jpg,X,train
Y_014765fa-0cb2-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\Y\Y_014765fa-0cb2-11ec-82c8-57b5b9d289c0.jpg,Y,train
Z_09bd38b2-0ca9-11ec-82c8-57b5b9d289c0.jpg,C:/Users/Administrator/Desktop/Tosin/alphabets\Z\Z_09bd38b2-0ca9-11ec-82c8-57b5b9d289c0.jpg,Z,train
